question,answer
"I can't log in, login not working, sign in page shows an error","Make sure Caps Lock is off. Clear your browser cookies and cache, then try again. If the issue persists, try a different browser. Contact our support team with your account email if the problem continues."
"My account is locked, account lockout error on login","After multiple failed login attempts, your account is locked for security. Please wait 15 minutes and try again, or contact our support team to unlock your account."
"I forgot my password, how to reset password, change password","Click the Forgot Password link on the login page. A reset link will be sent to your registered email address. If the email doesn't arrive within 5 minutes, check your spam folder."
"Password reset email not received, reset link not arriving","Check your spam or junk folder. Make sure you entered the correct email address. If you still don't receive it, contact our support team to verify your account email."
"How do I change my billing plan, upgrade or downgrade subscription","Go to Settings > Billing & Plans. Select the plan you want to switch to and click Change Plan. Changes take effect at the start of your next billing cycle."
"Where can I find my invoices, download receipts, billing history","Navigate to Settings > Billing & Plans > Invoice History. You can view and download PDF invoices for all past billing periods."
"My payment failed, credit card declined, payment error","Verify your card details are up to date in Settings > Billing & Plans > Payment Method. Ensure your card has sufficient funds and hasn't expired. Try a different payment method if the issue persists."
"How to add a new user, invite team members, create accounts","Go to Settings > User Management > Invite User. Enter the user's email address and select their role. They will receive an invitation email to set up their account."
"How to change user roles, update permissions","Navigate to Settings > User Management. Click the user's name, then select Edit Role. Choose the new role from the dropdown and click Save. Changes take effect immediately."
"How to deactivate a user, remove team member","Go to Settings > User Management. Find the user, click the three-dot menu, and select Deactivate. Deactivated users lose access but their data is preserved."
"How to generate reports, create a report, export analytics","Go to the Reports section from the main menu. Select the report type, set the date range and any filters, then click Generate Report. You can download the report as PDF or CSV."
"Report is empty, no data in report","Check your filter settings. Make sure the selected date range contains data. Try broadening your filters. If the issue persists, verify that your account has the necessary permissions to view the data."
"How to connect via API, API integration setup, getting API key","Go to Settings > Integrations > API. Click Generate API Key to create a new key. Refer to our API documentation at docs.example.com for endpoints and usage examples. Keep your API key secure and never share it publicly."
"API requests are failing, integration error, webhook not working","Verify your API key is valid and hasn't expired. Check that you're using the correct endpoint URL and HTTP method. Review the error response body for details. If the issue persists, share the error message with our support team."
"How to set up SSO, single sign-on configuration","Go to Settings > Security > SSO Configuration. Select your identity provider (Okta, Azure AD, Google Workspace, etc.), enter the required metadata, and click Save. SSO setup requires admin privileges."
"How to enable two-factor authentication, 2FA setup","Go to your Profile > Security > Two-Factor Authentication and click Enable. Scan the QR code with your authenticator app (Google Authenticator, Authy, etc.) and enter the verification code to confirm."
"System is slow, page loading slowly, performance issues","Check your internet connection speed. Close unnecessary browser tabs. Clear your browser cache and try refreshing with Ctrl+F5. If the issue persists across multiple users, contact our support team."
"How to export data, download data as CSV or Excel","Navigate to the relevant data page and click the Export button. Choose your preferred format (CSV or Excel). If the download doesn't start, check your browser's pop-up blocker settings."
"What are your support hours, when is live chat available, contact information","Our live support is available Monday through Friday, 9 AM to 6 PM (UTC). Outside these hours, you can submit a request via email or the in-app chat widget, and we'll respond on the next business day."
"How to set up email notifications, notification preferences","Go to Settings > Notifications. Toggle on the notification types you want to receive (email, in-app, or both). You can customize notifications per event type such as new tickets, status changes, and assignments."
